api_name,node_machinefamily,node_machinetype,node_machinesize,node_memory_size,node_vcpus_count,node_ecu_count,ecu_per_vcpu,memory_per_vcpu,accelerator_count,accelerator,processor,storage_size,storage_type,storage_bandwidth,interconnection_bandwidth,storage_throughput,storage_trim_support,storage_iops
m4.16xlarge,EC2Family_General,EC2Type_M4,EC2Type_M4_16xLarge,256.0G,64,188,2.938,4.00G,0,na,Intel Xeon E5-2686 v4,EBS only,na,10000.0M,25G,1250.0M,na,65000
m4.2xlarge,EC2Family_General,EC2Type_M4,EC2Type_M4_2xLarge,32.0G,8,26,3.25,4.00G,0,na,Intel Xeon E5-2676 v3,EBS only,na,1000.0M,High,125.0M,na,8000
m4.4xlarge,EC2Family_General,EC2Type_M4,EC2Type_M4_4xLarge,64.0G,16,53.5,3.344,4.00G,0,na,Intel Xeon E5-2676 v3,EBS only,na,2000.0M,High,250.0M,na,16000
m4.large,EC2Family_General,EC2Type_M4,EC2Type_M4_Large,8.0G,2,6.5,3.25,4.00G,0,na,Intel Xeon E5-2676 v3,EBS only,na,450.0M,Moderate,56.25M,na,3600
m4.xlarge,EC2Family_General,EC2Type_M4,EC2Type_M4_xLarge,16.0G,4,13,3.25,4.00G,0,na,Intel Xeon E5-2676 v3,EBS only,na,750.0M,High,93.75M,na,6000
m5.12xlarge,EC2Family_General,EC2Type_M5,EC2Type_M5_12xLarge,192.0G,48,168,3.5,4.00G,0,na,Intel Xeon Platinum 8175,EBS only,na,9500.0M,10G,1187.5M,na,40000
m5.16xlarge,EC2Family_General,EC2Type_M5,EC2Type_M5_16xLarge,256.0G,64,256,4,4.00G,0,na,Intel Xeon Platinum 8175,EBS only,na,13600.0M,20G,1700.0M,na,60000
m5.24xlarge,EC2Family_General,EC2Type_M5,EC2Type_M5_24xLarge,384.0G,96,337,3.51,4.00G,0,na,Intel Xeon Platinum 8175,EBS only,na,19000.0M,25G,2375.0M,na,80000
m5.2xlarge,EC2Family_General,EC2Type_M5,EC2Type_M5_2xLarge,32.0G,8,37,4.625,4.00G,0,na,Intel Xeon Platinum 8175,EBS only,na,4750.0M,Up to 10G,593.75M,na,18750
m5.4xlarge,EC2Family_General,EC2Type_M5,EC2Type_M5_4xLarge,64.0G,16,70,4.375,4.00G,0,na,Intel Xeon Platinum 8175,EBS only,na,4750.0M,Up to 10G,593.75M,na,18750
m5.8xlarge,EC2Family_General,EC2Type_M5,EC2Type_M5_8xLarge,128.0G,32,128,4,4.00G,0,na,Intel Xeon Platinum 8175,EBS only,na,6800.0M,10G,850.0M,na,30000
m5.large,EC2Family_General,EC2Type_M5,EC2Type_M5_Large,8.0G,2,10,5,4.00G,0,na,Intel Xeon Platinum 8175,EBS only,na,4750.0M,Up to 10G,593.75M,na,18750
m5.metal,EC2Family_General,EC2Type_M5,EC2Type_M5_Metal,384.0G,96,345,3.594,4.00G,0,na,Intel Xeon Platinum 8175,EBS only,na,19000.0M,25G,2375.0M,na,80000
m5.xlarge,EC2Family_General,EC2Type_M5,EC2Type_M5_xLarge,16.0G,4,16,4,4.00G,0,na,Intel Xeon Platinum 8175,EBS only,na,4750.0M,Up to 10G,593.75M,na,18750
m5a.12xlarge,EC2Family_General,EC2Type_M5A,EC2Type_M5A_12xLarge,192.0G,48,0,0,4.00G,0,na,AMD EPYC 7571,EBS only,na,6780.0M,10G,847.5M,na,30000
m5a.16xlarge,EC2Family_General,EC2Type_M5A,EC2Type_M5A_16xLarge,256.0G,64,0,0,4.00G,0,na,AMD EPYC 7571,EBS only,na,9500.0M,12G,1187.5M,na,40000
m5a.24xlarge,EC2Family_General,EC2Type_M5A,EC2Type_M5A_24xLarge,384.0G,96,0,0,4.00G,0,na,AMD EPYC 7571,EBS only,na,13570.0M,20G,1696.25M,na,60000
m5a.2xlarge,EC2Family_General,EC2Type_M5A,EC2Type_M5A_2xLarge,32.0G,8,0,0,4.00G,0,na,AMD EPYC 7571,EBS only,na,2880.0M,Up to 10G,360.0M,na,16000
m5a.4xlarge,EC2Family_General,EC2Type_M5A,EC2Type_M5A_4xLarge,64.0G,16,0,0,4.00G,0,na,AMD EPYC 7571,EBS only,na,2880.0M,Up to 10G,360.0M,na,16000
m5a.8xlarge,EC2Family_General,EC2Type_M5A,EC2Type_M5A_8xLarge,128.0G,32,0,0,4.00G,0,na,AMD EPYC 7571,EBS only,na,4750.0M,Up to 10G,593.75M,na,20000
m5a.large,EC2Family_General,EC2Type_M5A,EC2Type_M5A_Large,8.0G,2,0,0,4.00G,0,na,AMD EPYC 7571,EBS only,na,2880.0M,Up to 10G,360.0M,na,16000
m5a.xlarge,EC2Family_General,EC2Type_M5A,EC2Type_M5A_xLarge,16.0G,4,0,0,4.00G,0,na,AMD EPYC 7571,EBS only,na,2880.0M,Up to 10G,360.0M,na,16000
m5ad.12xlarge,EC2Family_General,EC2Type_M5AD,EC2Type_M5AD_12xLarge,192.0G,48,0,0,4.00G,0,na,AMD EPYC 7571,1800G,NVMe SSD,6780.0M,10G,847.5M,Yes,30000
m5ad.16xlarge,EC2Family_General,EC2Type_M5AD,EC2Type_M5AD_16xLarge,256.0G,64,0,0,4.00G,0,na,AMD EPYC 7571,2400G,NVMe SSD,9500.0M,12G,1187.5M,Yes,40000
m5ad.24xlarge,EC2Family_General,EC2Type_M5AD,EC2Type_M5AD_24xLarge,384.0G,96,0,0,4.00G,0,na,AMD EPYC 7571,3600G,NVMe SSD,13570.0M,20G,1696.25M,Yes,60000
m5ad.2xlarge,EC2Family_General,EC2Type_M5AD,EC2Type_M5AD_2xLarge,32.0G,8,0,0,4.00G,0,na,AMD EPYC 7571,300G,SSD,2880.0M,Up to 10G,360.0M,Yes,16000
m5ad.4xlarge,EC2Family_General,EC2Type_M5AD,EC2Type_M5AD_4xLarge,64.0G,16,0,0,4.00G,0,na,AMD EPYC 7571,600G,NVMe SSD,2880.0M,Up to 10G,360.0M,Yes,16000
m5ad.8xlarge,EC2Family_General,EC2Type_M5AD,EC2Type_M5AD_8xLarge,128.0G,32,0,0,4.00G,0,na,AMD EPYC 7571,1200G,NVMe SSD,4750.0M,Up to 10G,593.75M,Yes,20000
m5ad.large,EC2Family_General,EC2Type_M5AD,EC2Type_M5AD_Large,8.0G,2,0,0,4.00G,0,na,AMD EPYC 7571,75G,SSD,2880.0M,Up to 10G,360.0M,Yes,16000
m5ad.xlarge,EC2Family_General,EC2Type_M5AD,EC2Type_M5AD_xLarge,16.0G,4,0,0,4.00G,0,na,AMD EPYC 7571,150G,SSD,2880.0M,Up to 10G,360.0M,Yes,16000
m5d.12xlarge,EC2Family_General,EC2Type_M5D,EC2Type_M5D_12xLarge,192.0G,48,168,3.5,4.00G,0,na,Intel Xeon Platinum 8175,1800G,NVMe SSD,9500.0M,10G,1187.5M,Yes,40000
m5d.16xlarge,EC2Family_General,EC2Type_M5D,EC2Type_M5D_16xLarge,256.0G,64,256,4,4.00G,0,na,Intel Xeon Platinum 8175,2400G,NVMe SSD,13600.0M,20G,1700.0M,Yes,60000
m5d.24xlarge,EC2Family_General,EC2Type_M5D,EC2Type_M5D_24xLarge,384.0G,96,337,3.51,4.00G,0,na,Intel Xeon Platinum 8175,3600G,NVMe SSD,19000.0M,25G,2375.0M,Yes,80000
m5d.2xlarge,EC2Family_General,EC2Type_M5D,EC2Type_M5D_2xLarge,32.0G,8,37,4.625,4.00G,0,na,Intel Xeon Platinum 8175,300G,SSD,4750.0M,Up to 10G,593.75M,Yes,18750
m5d.4xlarge,EC2Family_General,EC2Type_M5D,EC2Type_M5D_4xLarge,64.0G,16,70,4.375,4.00G,0,na,Intel Xeon Platinum 8175,600G,NVMe SSD,4750.0M,Up to 10G,593.75M,Yes,18750
m5d.8xlarge,EC2Family_General,EC2Type_M5D,EC2Type_M5D_8xLarge,128.0G,32,128,4,4.00G,0,na,Intel Xeon Platinum 8175,1200G,NVMe SSD,6800.0M,10G,850.0M,Yes,30000
m5d.large,EC2Family_General,EC2Type_M5D,EC2Type_M5D_Large,8.0G,2,10,5,4.00G,0,na,Intel Xeon Platinum 8175,75G,SSD,4750.0M,Up to 10G,593.75M,Yes,18750
m5d.metal,EC2Family_General,EC2Type_M5D,EC2Type_M5D_Metal,384.0G,96,345,3.594,4.00G,0,na,Intel Xeon Platinum 8175,3600G,NVMe SSD,19000.0M,25G,2375.0M,Yes,80000
m5d.xlarge,EC2Family_General,EC2Type_M5D,EC2Type_M5D_xLarge,16.0G,4,16,4,4.00G,0,na,Intel Xeon Platinum 8175,150G,SSD,4750.0M,Up to 10G,593.75M,Yes,18750
m5dn.12xlarge,EC2Family_General,EC2Type_M5DN,EC2Type_M5DN_12xLarge,192.0G,48,0,0,4.00G,0,na,Intel Xeon Platinum 8259,1800G,NVMe SSD,9500.0M,50G,1187.5M,Yes,40000
m5dn.16xlarge,EC2Family_General,EC2Type_M5DN,EC2Type_M5DN_16xLarge,256.0G,64,0,0,4.00G,0,na,Intel Xeon Platinum 8259,2400G,NVMe SSD,13600.0M,75G,1700.0M,Yes,60000
m5dn.24xlarge,EC2Family_General,EC2Type_M5DN,EC2Type_M5DN_24xLarge,384.0G,96,0,0,4.00G,0,na,Intel Xeon Platinum 8259,3600G,NVMe SSD,19000.0M,100G,2375.0M,Yes,80000
m5dn.2xlarge,EC2Family_General,EC2Type_M5DN,EC2Type_M5DN_2xLarge,32.0G,8,0,0,4.00G,0,na,Intel Xeon Platinum 8259,300G,SSD,4750.0M,Up to 25G,593.75M,Yes,18750
m5dn.4xlarge,EC2Family_General,EC2Type_M5DN,EC2Type_M5DN_4xLarge,64.0G,16,0,0,4.00G,0,na,Intel Xeon Platinum 8259,600G,NVMe SSD,4750.0M,Up to 25G,593.75M,Yes,18750
m5dn.8xlarge,EC2Family_General,EC2Type_M5DN,EC2Type_M5DN_8xLarge,128.0G,32,0,0,4.00G,0,na,Intel Xeon Platinum 8259,1200G,NVMe SSD,6800.0M,25G,850.0M,Yes,30000
m5dn.large,EC2Family_General,EC2Type_M5DN,EC2Type_M5DN_Large,8.0G,2,0,0,4.00G,0,na,Intel Xeon Platinum 8259,75G,SSD,4750.0M,Up to 25G,593.75M,Yes,18750
m5dn.metal,EC2Family_General,EC2Type_M5DN,EC2Type_M5DN_Metal,384.0G,96,0,0,4.00G,0,na,Intel Xeon Platinum 8259,3600G,NVMe SSD,19000.0M,100G,2375.0M,Yes,80000
m5dn.xlarge,EC2Family_General,EC2Type_M5DN,EC2Type_M5DN_xLarge,16.0G,4,0,0,4.00G,0,na,Intel Xeon Platinum 8259,150G,SSD,4750.0M,Up to 25G,593.75M,Yes,18750
m5n.12xlarge,EC2Family_General,EC2Type_M5N,EC2Type_M5N_12xLarge,192.0G,48,0,0,4.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,9500.0M,50G,1187.5M,na,40000
m5n.16xlarge,EC2Family_General,EC2Type_M5N,EC2Type_M5N_16xLarge,256.0G,64,0,0,4.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,13600.0M,75G,1700.0M,na,60000
m5n.24xlarge,EC2Family_General,EC2Type_M5N,EC2Type_M5N_24xLarge,384.0G,96,0,0,4.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,19000.0M,100G,2375.0M,na,80000
m5n.2xlarge,EC2Family_General,EC2Type_M5N,EC2Type_M5N_2xLarge,32.0G,8,0,0,4.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,4750.0M,Up to 25G,593.75M,na,18750
m5n.4xlarge,EC2Family_General,EC2Type_M5N,EC2Type_M5N_4xLarge,64.0G,16,0,0,4.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,4750.0M,Up to 25G,593.75M,na,18750
m5n.8xlarge,EC2Family_General,EC2Type_M5N,EC2Type_M5N_8xLarge,128.0G,32,0,0,4.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,6800.0M,25G,850.0M,na,30000
m5n.large,EC2Family_General,EC2Type_M5N,EC2Type_M5N_Large,8.0G,2,0,0,4.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,4750.0M,Up to 25G,593.75M,na,18750
m5n.metal,EC2Family_General,EC2Type_M5N,EC2Type_M5N_Metal,384.0G,96,0,0,4.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,19000.0M,100G,2375.0M,na,80000
m5n.xlarge,EC2Family_General,EC2Type_M5N,EC2Type_M5N_xLarge,16.0G,4,0,0,4.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,4750.0M,Up to 25G,593.75M,na,18750
m5zn.12xlarge,EC2Family_General,EC2Type_M5ZN,EC2Type_M5ZN_12xLarge,192.0G,48,0,0,4.00G,0,na,Intel Xeon Platinum 8252,EBS only,na,19000.0M,100G,2375.0M,na,80000
m5zn.2xlarge,EC2Family_General,EC2Type_M5ZN,EC2Type_M5ZN_2xLarge,32.0G,8,0,0,4.00G,0,na,Intel Xeon Platinum 8252,EBS only,na,3170.0M,Up to 25G,396.25M,na,13333
m5zn.3xlarge,EC2Family_General,EC2Type_M5ZN,EC2Type_M5ZN_3xLarge,48.0G,12,0,0,4.00G,0,na,Intel Xeon Platinum 8252,EBS only,na,4750.0M,Up to 25G,593.75M,na,20000
m5zn.6xlarge,EC2Family_General,EC2Type_M5ZN,EC2Type_M5ZN_6xLarge,96.0G,24,0,0,4.00G,0,na,Intel Xeon Platinum 8252,EBS only,na,9500.0M,50G,1187.5M,na,40000
m5zn.large,EC2Family_General,EC2Type_M5ZN,EC2Type_M5ZN_Large,8.0G,2,0,0,4.00G,0,na,Intel Xeon Platinum 8252,EBS only,na,3170.0M,Up to 25G,396.25M,na,13333
m5zn.metal,EC2Family_General,EC2Type_M5ZN,EC2Type_M5ZN_Metal,192.0G,48,0,0,4.00G,0,na,Intel Xeon Platinum 8252,EBS only,na,19000.0M,100G,2375.0M,na,80000
m5zn.xlarge,EC2Family_General,EC2Type_M5ZN,EC2Type_M5ZN_xLarge,16.0G,4,0,0,4.00G,0,na,Intel Xeon Platinum 8252,EBS only,na,3170.0M,Up to 25G,396.25M,na,13333
m6a.12xlarge,EC2Family_General,EC2Type_M6A,EC2Type_M6A_12xLarge,192.0G,48,0,0,4.00G,0,na,AMD EPYC 7R13,EBS only,na,10000.0M,18.75G,1250.0M,na,40000
m6a.16xlarge,EC2Family_General,EC2Type_M6A,EC2Type_M6A_16xLarge,256.0G,64,0,0,4.00G,0,na,AMD EPYC 7R13,EBS only,na,13300.0M,25G,1662.5M,na,53333
m6a.24xlarge,EC2Family_General,EC2Type_M6A,EC2Type_M6A_24xLarge,384.0G,96,0,0,4.00G,0,na,AMD EPYC 7R13,EBS only,na,20000.0M,37.5G,2500.0M,na,80000
m6a.2xlarge,EC2Family_General,EC2Type_M6A,EC2Type_M6A_2xLarge,32.0G,8,0,0,4.00G,0,na,AMD EPYC 7R13,EBS only,na,6666.666664M,Up to 12.5G,833.333333M,na,26667
m6a.32xlarge,EC2Family_General,EC2Type_M6A,EC2Type_M6A_32xLarge,512.0G,128,0,0,4.00G,0,na,AMD EPYC 7R13,EBS only,na,26666.666664M,50G,3333.333333M,na,100000
m6a.48xlarge,EC2Family_General,EC2Type_M6A,EC2Type_M6A_48xLarge,768.0G,192,0,0,4.00G,0,na,AMD EPYC 7R13,EBS only,na,40000.0M,50G,5000.0M,na,160000
m6a.4xlarge,EC2Family_General,EC2Type_M6A,EC2Type_M6A_4xLarge,64.0G,16,0,0,4.00G,0,na,AMD EPYC 7R13,EBS only,na,6666.666664M,Up to 12.5G,833.333333M,na,26667
m6a.8xlarge,EC2Family_General,EC2Type_M6A,EC2Type_M6A_8xLarge,128.0G,32,0,0,4.00G,0,na,AMD EPYC 7R13,EBS only,na,6666.666664M,12.5G,833.333333M,na,26667
m6a.large,EC2Family_General,EC2Type_M6A,EC2Type_M6A_Large,8.0G,2,0,0,4.00G,0,na,AMD EPYC 7R13,EBS only,na,6666.666664M,Up to 12.5G,833.333333M,na,26667
m6a.metal,EC2Family_General,EC2Type_M6A,EC2Type_M6A_Metal,768.0G,192,0,0,4.00G,0,na,AMD EPYC 7R13,EBS only,na,40000.0M,50G,5000.0M,na,160000
m6a.xlarge,EC2Family_General,EC2Type_M6A,EC2Type_M6A_xLarge,16.0G,4,0,0,4.00G,0,na,AMD EPYC 7R13,EBS only,na,6666.666664M,Up to 12.5G,833.333333M,na,26667
m6g.12xlarge,EC2Family_General,EC2Type_M6G,EC2Type_M6G_12xLarge,192.0G,48,0,0,4.00G,0,na,AWS Graviton2,EBS only,na,14250.0M,20G,1781.25M,na,50000
m6g.16xlarge,EC2Family_General,EC2Type_M6G,EC2Type_M6G_16xLarge,256.0G,64,0,0,4.00G,0,na,AWS Graviton2,EBS only,na,19000.0M,25G,2375.0M,na,80000
m6g.2xlarge,EC2Family_General,EC2Type_M6G,EC2Type_M6G_2xLarge,32.0G,8,0,0,4.00G,0,na,AWS Graviton2,EBS only,na,4750.0M,Up to 10G,593.75M,na,20000
m6g.4xlarge,EC2Family_General,EC2Type_M6G,EC2Type_M6G_4xLarge,64.0G,16,0,0,4.00G,0,na,AWS Graviton2,EBS only,na,4750.0M,Up to 10G,593.75M,na,20000
m6g.8xlarge,EC2Family_General,EC2Type_M6G,EC2Type_M6G_8xLarge,128.0G,32,0,0,4.00G,0,na,AWS Graviton2,EBS only,na,9500.0M,12G,1187.5M,na,40000
m6g.large,EC2Family_General,EC2Type_M6G,EC2Type_M6G_Large,8.0G,2,0,0,4.00G,0,na,AWS Graviton2,EBS only,na,4750.0M,Up to 10G,593.75M,na,20000
m6g.medium,EC2Family_General,EC2Type_M6G,EC2Type_M6G_Medium,4.0G,1,0,0,4.00G,0,na,AWS Graviton2,EBS only,na,4750.0M,Up to 10G,593.75M,na,20000
m6g.metal,EC2Family_General,EC2Type_M6G,EC2Type_M6G_Metal,256.0G,64,0,0,4.00G,0,na,AWS Graviton2,EBS only,na,19000.0M,25G,2375.0M,na,80000
m6g.xlarge,EC2Family_General,EC2Type_M6G,EC2Type_M6G_xLarge,16.0G,4,0,0,4.00G,0,na,AWS Graviton2,EBS only,na,4750.0M,Up to 10G,593.75M,na,20000
m6gd.12xlarge,EC2Family_General,EC2Type_M6GD,EC2Type_M6GD_12xLarge,192.0G,48,0,0,4.00G,0,na,AWS Graviton2,2850G,NVMe SSD,14250.0M,20G,1781.25M,Yes,50000
m6gd.16xlarge,EC2Family_General,EC2Type_M6GD,EC2Type_M6GD_16xLarge,256.0G,64,0,0,4.00G,0,na,AWS Graviton2,3800G,NVMe SSD,19000.0M,25G,2375.0M,Yes,80000
m6gd.2xlarge,EC2Family_General,EC2Type_M6GD,EC2Type_M6GD_2xLarge,32.0G,8,0,0,4.00G,0,na,AWS Graviton2,474G,SSD,4750.0M,Up to 10G,593.75M,Yes,20000
m6gd.4xlarge,EC2Family_General,EC2Type_M6GD,EC2Type_M6GD_4xLarge,64.0G,16,0,0,4.00G,0,na,AWS Graviton2,950G,SSD,4750.0M,Up to 10G,593.75M,Yes,20000
m6gd.8xlarge,EC2Family_General,EC2Type_M6GD,EC2Type_M6GD_8xLarge,128.0G,32,0,0,4.00G,0,na,AWS Graviton2,1900G,SSD,9500.0M,12G,1187.5M,Yes,40000
m6gd.large,EC2Family_General,EC2Type_M6GD,EC2Type_M6GD_Large,8.0G,2,0,0,4.00G,0,na,AWS Graviton2,118G,SSD,4750.0M,Up to 10G,593.75M,Yes,20000
m6gd.medium,EC2Family_General,EC2Type_M6GD,EC2Type_M6GD_Medium,4.0G,1,0,0,4.00G,0,na,AWS Graviton2,59G,SSD,4750.0M,Up to 10G,593.75M,Yes,20000
m6gd.metal,EC2Family_General,EC2Type_M6GD,EC2Type_M6GD_Metal,256.0G,64,0,0,4.00G,0,na,AWS Graviton2,3800G,NVMe SSD,19000.0M,25G,2375.0M,Yes,80000
m6gd.xlarge,EC2Family_General,EC2Type_M6GD,EC2Type_M6GD_xLarge,16.0G,4,0,0,4.00G,0,na,AWS Graviton2,237G,SSD,4750.0M,Up to 10G,593.75M,Yes,20000
m6i.12xlarge,EC2Family_General,EC2Type_M6I,EC2Type_M6I_12xLarge,192.0G,48,0,0,4.00G,0,na,Intel Xeon 8375C,EBS only,na,15000.0M,18.75G,1875.0M,na,60000
m6i.16xlarge,EC2Family_General,EC2Type_M6I,EC2Type_M6I_16xLarge,256.0G,64,0,0,4.00G,0,na,Intel Xeon 8375C,EBS only,na,20000.0M,25G,2500.0M,na,80000
m6i.24xlarge,EC2Family_General,EC2Type_M6I,EC2Type_M6I_24xLarge,384.0G,96,0,0,4.00G,0,na,Intel Xeon 8375C,EBS only,na,30000.0M,37.5G,3750.0M,na,120000
m6i.2xlarge,EC2Family_General,EC2Type_M6I,EC2Type_M6I_2xLarge,32.0G,8,0,0,4.00G,0,na,Intel Xeon 8375C,EBS only,na,10000.0M,Up to 12.5G,1250.0M,na,40000
m6i.32xlarge,EC2Family_General,EC2Type_M6I,EC2Type_M6I_32xLarge,512.0G,128,0,0,4.00G,0,na,Intel Xeon 8375C,EBS only,na,40000.0M,50G,5000.0M,na,160000
m6i.4xlarge,EC2Family_General,EC2Type_M6I,EC2Type_M6I_4xLarge,64.0G,16,0,0,4.00G,0,na,Intel Xeon 8375C,EBS only,na,10000.0M,Up to 12.5G,1250.0M,na,40000
m6i.8xlarge,EC2Family_General,EC2Type_M6I,EC2Type_M6I_8xLarge,128.0G,32,0,0,4.00G,0,na,Intel Xeon 8375C,EBS only,na,10000.0M,12.5G,1250.0M,na,40000
m6i.large,EC2Family_General,EC2Type_M6I,EC2Type_M6I_Large,8.0G,2,0,0,4.00G,0,na,Intel Xeon 8375C,EBS only,na,10000.0M,Up to 12.5G,1250.0M,na,40000
m6i.metal,EC2Family_General,EC2Type_M6I,EC2Type_M6I_Metal,512.0G,128,0,0,4.00G,0,na,Intel Xeon 8375C,EBS only,na,40000.0M,50G,5000.0M,na,160000
m6i.xlarge,EC2Family_General,EC2Type_M6I,EC2Type_M6I_xLarge,16.0G,4,0,0,4.00G,0,na,Intel Xeon 8375C,EBS only,na,10000.0M,Up to 12.5G,1250.0M,na,40000
m6id.12xlarge,EC2Family_General,EC2Type_M6ID,EC2Type_M6ID_12xLarge,192.0G,48,0,0,4.00G,0,na,Intel Xeon 8375C,2850G,NVMe SSD,15000.0M,18.75G,1875.0M,Yes,60000
m6id.16xlarge,EC2Family_General,EC2Type_M6ID,EC2Type_M6ID_16xLarge,256.0G,64,0,0,4.00G,0,na,Intel Xeon 8375C,3800G,NVMe SSD,20000.0M,25G,2500.0M,Yes,80000
m6id.24xlarge,EC2Family_General,EC2Type_M6ID,EC2Type_M6ID_24xLarge,384.0G,96,0,0,4.00G,0,na,Intel Xeon 8375C,5700G,NVMe SSD,30000.0M,37.5G,3750.0M,Yes,120000
m6id.2xlarge,EC2Family_General,EC2Type_M6ID,EC2Type_M6ID_2xLarge,32.0G,8,0,0,4.00G,0,na,Intel Xeon 8375C,474G,SSD,10000.0M,Up to 12.5G,1250.0M,Yes,40000
m6id.32xlarge,EC2Family_General,EC2Type_M6ID,EC2Type_M6ID_32xLarge,512.0G,128,0,0,4.00G,0,na,Intel Xeon 8375C,7600G,NVMe SSD,40000.0M,50G,5000.0M,Yes,160000
m6id.4xlarge,EC2Family_General,EC2Type_M6ID,EC2Type_M6ID_4xLarge,64.0G,16,0,0,4.00G,0,na,Intel Xeon 8375C,950G,SSD,10000.0M,Up to 12.5G,1250.0M,Yes,40000
m6id.8xlarge,EC2Family_General,EC2Type_M6ID,EC2Type_M6ID_8xLarge,128.0G,32,0,0,4.00G,0,na,Intel Xeon 8375C,1900G,SSD,10000.0M,12.5G,1250.0M,Yes,40000
m6id.large,EC2Family_General,EC2Type_M6ID,EC2Type_M6ID_Large,8.0G,2,0,0,4.00G,0,na,Intel Xeon 8375C,118G,SSD,10000.0M,Up to 12.5G,1250.0M,Yes,40000
m6id.metal,EC2Family_General,EC2Type_M6ID,EC2Type_M6ID_Metal,512.0G,128,0,0,4.00G,0,na,Intel Xeon 8375C,7600G,NVMe SSD,40000.0M,50G,5000.0M,Yes,160000
m6id.xlarge,EC2Family_General,EC2Type_M6ID,EC2Type_M6ID_xLarge,16.0G,4,0,0,4.00G,0,na,Intel Xeon 8375C,237G,SSD,10000.0M,Up to 12.5G,1250.0M,Yes,40000
mac1.metal,EC2Family_General,EC2Type_MAC1,EC2Type_MAC1_Metal,32.0G,12,0,0,2.67G,0,na,Intel Core i7-8700B,EBS only,na,8000.0M,25G,1000.0M,na,55000
mac2.metal,EC2Family_General,EC2Type_MAC2,EC2Type_MAC2_Metal,16.0G,12,0,0,1.33G,0,na,Apple M1 chip with 8-core, 8-core GPU, and 16-core Neural Engine",EBS only,na,unset,10G,0M,na,0
p2.16xlarge,EC2Family_Accelerated,EC2Type_P2,EC2Type_P2_16xLarge,732.0G,64,201,3.141,11.44G,16,NVIDIA Tesla K80,Intel Xeon E5-2686 v4,EBS only,na,10000.0M,25G,1250.0M,na,65000
p2.8xlarge,EC2Family_Accelerated,EC2Type_P2,EC2Type_P2_8xLarge,488.0G,32,97,3.031,15.25G,8,NVIDIA Tesla K80,Intel Xeon E5-2686 v4,EBS only,na,5000.0M,10G,625.0M,na,32500
p2.xlarge,EC2Family_Accelerated,EC2Type_P2,EC2Type_P2_xLarge,61.0G,4,16,4,15.25G,1,NVIDIA Tesla K80,Intel Xeon E5-2686 v4,EBS only,na,750.0M,High,93.75M,na,6000
p3.16xlarge,EC2Family_Accelerated,EC2Type_P3,EC2Type_P3_16xLarge,488.0G,64,201,3.141,7.62G,8,NVIDIA Tesla V100,Intel Xeon E5-2686 v4,EBS only,na,14000.0M,25G,1750.0M,na,80000
p3.2xlarge,EC2Family_Accelerated,EC2Type_P3,EC2Type_P3_2xLarge,61.0G,8,31,3.875,7.62G,1,NVIDIA Tesla V100,Intel Xeon E5-2686 v4,EBS only,na,1750.0M,Up to 10G,218.75M,na,10000
p3.8xlarge,EC2Family_Accelerated,EC2Type_P3,EC2Type_P3_8xLarge,244.0G,32,97,3.031,7.62G,4,NVIDIA Tesla V100,Intel Xeon E5-2686 v4,EBS only,na,7000.0M,10G,875.0M,na,40000
p3dn.24xlarge,EC2Family_Accelerated,EC2Type_P3DN,EC2Type_P3DN_24xLarge,768.0G,96,337,3.51,8.00G,8,NVIDIA Tesla V100,Intel Xeon Platinum 8175,1800G,NVMe SSD,19000.0M,100G,2375.0M,Yes,80000
p4d.24xlarge,EC2Family_Accelerated,EC2Type_P4D,EC2Type_P4D_24xLarge,1152.0G,96,345,3.594,12.00G,8,NVIDIA A100,Intel Xeon Platinum 8275L,8000G,NVMe SSD,19000.0M,4x 100G,2375.0M,Yes,80000
p4de.24xlarge,EC2Family_Accelerated,EC2Type_P4DE,EC2Type_P4DE_24xLarge,1152.0G,96,345,3.594,12.00G,8,NVIDIA A100,Intel Xeon Platinum 8275L,8000G,NVMe SSD,19000.0M,400G,2375.0M,Yes,80000
r3.2xlarge,EC2Family_Memory,EC2Type_R3,EC2Type_R3_2xLarge,61.0G,8,26,3.25,7.62G,0,na,Intel Xeon E5-2670 v2,160G,SSD,1000.0M,High,125.0M,Yes,8000
r3.4xlarge,EC2Family_Memory,EC2Type_R3,EC2Type_R3_4xLarge,122.0G,16,52,3.25,7.62G,0,na,Intel Xeon E5-2670 v2,320G,SSD,2000.0M,High,250.0M,Yes,16000
r3.8xlarge,EC2Family_Memory,EC2Type_R3,EC2Type_R3_8xLarge,244.0G,32,104,3.25,7.62G,0,na,Intel Xeon E5-2670 v2,640G,SSD,unset,10G,0M,Yes,0
r3.large,EC2Family_Memory,EC2Type_R3,EC2Type_R3_Large,15.25G,2,6.5,3.25,7.62G,0,na,Intel Xeon E5-2670 v2,32G,SSD,unset,Moderate,0M,Yes,0
