,,accelerator,accelerator_type,accelerator_manufacturer,accelerator_api,accelerator_architecture,accelerator_memory_size,accelerator_tdp
AMD;FirePro,W8000,AMDFirePro_W8000,GPU,AMD,OpenCL_1_2,GCN,4GB,225
AMD;FirePro,W7170M,AMDFirePro_W7170M,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,100
AMD;FirePro,W7100,AMDFirePro_W7100,GPU,AMD,OpenCL_2_0,GCN_3_0,8GB,150
AMD;FirePro,W7000,AMDFirePro_W7000,GPU,AMD,OpenCL_1_2,GCN,4GB,150
AMD;FirePro,W6150M,AMDFirePro_W6150M,GPU,AMD,OpenCL_2_0,GCN_2_0,4GB,na
AMD;FirePro,W600,AMDFirePro_W600,GPU,AMD,OpenCL_2_0,GCN,2GB,75
AMD;FirePro,W5170M,AMDFirePro_W5170M,GPU,AMD,OpenCL_2_0,GCN,2GB,na
AMD;FirePro,W5130M,AMDFirePro_W5130M,GPU,AMD,OpenCL_2_0,GCN,2GB,na
AMD;FirePro,W5100,AMDFirePro_W5100,GPU,AMD,OpenCL_2_0,GCN_2_0,4GB,50
AMD;FirePro,W4300,AMDFirePro_W4300,GPU,AMD,OpenCL_2_0,GCN_2_0,4GB,50
AMD;FirePro,W4190M,AMDFirePro_W4190M,GPU,AMD,OpenCL_2_0,GCN,2GB,na
AMD;FirePro,W4170M,AMDFirePro_W4170M,GPU,AMD,OpenCL_2_0,GCN,2GB,na
AMD;FirePro,W4100,AMDFirePro_W4100,GPU,AMD,OpenCL_1_2,GCN,2GB,50
AMD;FirePro,W2100,AMDFirePro_W2100,GPU,AMD,OpenCL_1_2,GCN,2GB,26
AMD;FirePro,S9300,AMDFirePro_S9300_x2,GPU,AMD,OpenCL_2_0,GCN_3_0,8GB,300
AMD;FirePro,S9170,AMDFirePro_S9170,GPU,AMD,OpenCL_2_0,GCN_2_0,32GB,275
AMD;FirePro,S9150,AMDFirePro_S9150,GPU,AMD,OpenCL_2_0,GCN_2_0,16GB,235
AMD;FirePro,S9100,AMDFirePro_S9100,GPU,AMD,OpenCL_2_0,GCN_2_0,12GB,225
AMD;FirePro,S9050,AMDFirePro_S9050,GPU,AMD,OpenCL_2_0,GCN,12GB,225
AMD;FirePro,S9000,AMDFirePro_S9000,GPU,AMD,OpenCL_2_0,GCN,6GB,225
AMD;FirePro,S7100X,AMDFirePro_S7100X,GPU,AMD,OpenCL_2_0,GCN_3_0,8GB,100
AMD;FirePro,S7000,AMDFirePro_S7000,GPU,AMD,OpenCL_2_0,GCN,4GB,150
AMD;FirePro,S4000X,AMDFirePro_S4000X,GPU,AMD,OpenCL_2_0,GCN,2GB,45
AMD;FirePro,R5000,AMDFirePro_R5000,GPU,AMD,OpenCL_2_0,GCN,2GB,150
AMD;FirePro,2460,AMDFirePro_2460,GPU,AMD,OpenCL_1_2,TeraScale2,512MB,17
