,,processor_core_count,processor_clock,processor_core_threadscount,processor_isa,processor_simd,processor_microarchitecture,processor,processor_manufacturer,processor_tdp,processor_core_L1_size, processor_core_L2_size, processor_L3_size,node_memory_bandwidth,node_memory_type
AMD;E1,7010,2,1.5G,2,64-bit,unset,unset,AMD_E1_7010,AMD,10,unset,1MB,unset,1333M,DDR3L
AMD;E1;Micro,6200T,2,1.4G,2,64-bit,unset,unset,AMD_E1_Micro_6200T,AMD,3.95,unset,1MB,unset,unset,unset
AMD;E2,3000,2,1.65G,2,64-bit,unset,unset,AMD_E2_3000,AMD,15,unset,1MB,unset,unset,unset
AMD;E2,3800,4,1.3G,4,64-bit,unset,unset,AMD_E2_3800,AMD,15,128KB,2MB,unset,1600M,DDR3
AMD;E2,6110,4,1.5G,4,64-bit,unset,unset,AMD_E2_6110,AMD,15,unset,2MB,unset,1600M,DDR3
AMD;E2,7110,4,1.8G,4,64-bit,unset,unset,AMD_E2_7110,AMD,65,unset,2MB,unset,1600M,DDR3L
AMD;E2;7;9010,APU,2,200M,2,64-bit,unset,unset,AMD_E2_7_9010_APU,AMD,15,unset,1MB,unset,186M,DDR4
AMD;EPYC,7232P,8,3.1G,16,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7232P,AMD,120,unset,unset,32MB,3200M,DDR4
AMD;EPYC,7251,8,2.1G,16,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7251,AMD,120,unset,unset,32MB,2400M,DDR4
AMD;EPYC,7252,8,3.1G,16,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7252,AMD,120,unset,unset,64MB,3200M,DDR4
AMD;EPYC,7261,8,2.5G,16,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7261,AMD,155/170,unset,unset,64MB,2666M,DDR4
AMD;EPYC,7262,8,3.2G,16,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7262,AMD,155,unset,unset,128MB,3200M,DDR4
AMD;EPYC,7272,12,2.9G,24,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7272,AMD,120,unset,unset,64MB,3200M,DDR4
AMD;EPYC,7281,16,2.1G,32,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7281,AMD,155/170,unset,unset,32MB,2666M,DDR4
AMD;EPYC,7282,16,2.8G,32,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7282,AMD,120,unset,unset,64MB,3200M,DDR4
AMD;EPYC,72F3,8,3.7G,16,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_72F3,AMD,180,unset,unset,256MB,3200M,DDR4
AMD;EPYC,7301,16,2.2G,32,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7301,AMD,155/170,unset,unset,64MB,2666M,DDR4
AMD;EPYC,7302,16,3.0G,32,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7302,AMD,155,unset,unset,128MB,3200M,DDR4
AMD;EPYC,7302P,16,3.0G,32,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7302P,AMD,155,unset,unset,128MB,3200M,DDR4
AMD;EPYC,7313,16,3.0G,32,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7313,AMD,155,unset,unset,128MB,3200M,DDR4
AMD;EPYC,7313P,16,3.0G,32,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7313P,AMD,155,unset,unset,128MB,3200M,DDR4
AMD;EPYC,7343,16,3.2G,32,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7343,AMD,190,unset,unset,128MB,3200M,DDR4
AMD;EPYC,7351,16,2.4G,32,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7351,AMD,155/170,unset,unset,64MB,2666M,DDR4
AMD;EPYC,7351P,16,2.4G,32,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7351P,AMD,155/170,unset,unset,64MB,2666M,DDR4
AMD;EPYC,7352,24,2.3G,48,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7352,AMD,155,unset,unset,128MB,3200M,DDR4
AMD;EPYC,7371,16,3.1G,32,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7371,AMD,200,unset,unset,64MB,2666M,DDR4
AMD;EPYC,7373X,16,3.05G,32,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7373X,AMD,240,unset,unset,768MB,3200M,DDR4
AMD;EPYC,73F3,16,3.5G,32,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_73F3,AMD,240,unset,unset,256MB,3200M,DDR4
AMD;EPYC,7401,24,2.0G,48,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7401,AMD,155/170,unset,unset,64MB,2666M,DDR4
AMD;EPYC,7401,24,2.0G,48,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7401,AMD,155/170,unset,unset,64MB,2666M,DDR4
AMD;EPYC,7402,24,2.8G,48,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7402,AMD,180,unset,unset,128MB,3200M,DDR4
AMD;EPYC,7402,24,2.8G,48,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7402,AMD,180,unset,unset,128MB,3200M,DDR4
AMD;EPYC,7413,24,2.65G,48,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7413,AMD,180,unset,unset,128MB,3200M,DDR4
AMD;EPYC,7443,24,2.85G,48,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7443,AMD,200,unset,unset,128MB,3200M,DDR4
AMD;EPYC,7443,24,2.85G,48,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7443,AMD,200,unset,unset,128MB,3200M,DDR4
AMD;EPYC,7451,24,2.3G,48,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7451,AMD,180,unset,unset,64MB,2666M,DDR4
AMD;EPYC,7452,32,2.35G,64,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7452,AMD,155,unset,unset,128MB,3200M,DDR4
AMD;EPYC,7453,28,2.75G,56,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7453,AMD,225,unset,unset,64MB,3200M,DDR4
AMD;EPYC,7473X,24,2.8G,48,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7473X,AMD,240,unset,unset,768MB,3200M,DDR4
AMD;EPYC,74F3,24,3.2G,48,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_74F3,AMD,240,unset,unset,256MB,3200M,DDR4
AMD;EPYC,7501,32,2.0G,64,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7501,AMD,155/170,unset,unset,64MB,2666M,DDR4
AMD;EPYC,7502,32,2.5G,64,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7502,AMD,180,unset,unset,128MB,3200M,DDR4
AMD;EPYC,7502,32,2.5G,64,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7502,AMD,180,unset,unset,128MB,3200M,DDR4
AMD;EPYC,7513,32,2.6G,64,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7513,AMD,200,unset,unset,128MB,3200M,DDR4
AMD;EPYC,7532,32,2.4G,64,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7532,AMD,200,unset,unset,256MB,3200M,DDR4
AMD;EPYC,7542,32,2.9G,64,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7542,AMD,225,unset,unset,128MB,3200M,DDR4
AMD;EPYC,7543,32,2.8G,64,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7543,AMD,225,unset,unset,256MB,3200M,DDR4
AMD;EPYC,7543,32,2.8G,64,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7543,AMD,225,unset,unset,256MB,3200M,DDR4
AMD;EPYC,7551,32,2.0G,64,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7551,AMD,180,unset,unset,64MB,2666M,DDR4
AMD;EPYC,7551,32,2.0G,64,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7551,AMD,180,unset,unset,64MB,2666M,DDR4
AMD;EPYC,7552,48,2.2G,96,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7552,AMD,200,unset,unset,192MB,3200M,DDR4
AMD;EPYC,7573X,32,2.8G,64,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7573X,AMD,280,unset,unset,768MB,3200M,DDR4
AMD;EPYC,75F3,32,2.95G,64,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_75F3,AMD,280,unset,unset,256MB,3200M,DDR4
AMD;EPYC,7601,32,2.2G,64,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7601,AMD,180,unset,unset,64MB,2666M,DDR4
AMD;EPYC,7642,48,2.3G,96,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7642,AMD,225,unset,unset,256MB,3200M,DDR4
AMD;EPYC,7643,48,2.3G,96,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7643,AMD,225,unset,unset,256MB,3200M,DDR4
AMD;EPYC,7662,64,2.0G,128,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7662,AMD,225,unset,unset,256MB,3200M,DDR4
AMD;EPYC,7663,56,2.0G,112,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7663,AMD,240,unset,unset,256MB,3200M,DDR4
AMD;EPYC,7702,64,2.0G,128,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7702,AMD,200,unset,unset,256MB,3200M,DDR4
AMD;EPYC,7702,64,2.0G,128,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7702,AMD,200,unset,unset,256MB,3200M,DDR4
AMD;EPYC,7713,64,2.0G,128,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7713,AMD,225,unset,unset,256MB,3200M,DDR4
AMD;EPYC,7713,64,2.0G,128,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7713,AMD,225,unset,unset,256MB,3200M,DDR4
AMD;EPYC,7742,64,2.25G,128,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7742,AMD,225,unset,unset,256MB,3200M,DDR4
AMD;EPYC,7763,64,2.45G,128,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7763,AMD,280,unset,unset,256MB,3200M,DDR4
AMD;EPYC,7773X,64,2.2G,128,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7773X,AMD,280,unset,unset,768MB,3200M,DDR4
AMD;EPYC,7F32,8,3.7G,16,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7F32,AMD,180,unset,unset,128MB,3200M,DDR4
AMD;EPYC,7F52,16,3.5G,32,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7F52,AMD,240,unset,unset,256MB,3200M,DDR4
AMD;EPYC,7F72,24,3.2G,48,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7F72,AMD,240,unset,unset,192MB,3200M,DDR4
AMD;EPYC,7H12,64,2.6G,128,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX;AVX2,Zen,AMDEPYC_7H12,AMD,280,unset,unset,256MB,3200M,DDR4
AMD;FX,4100,4,3.6G,4,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_4100,AMD,95,192KB,4MB,8MB,1866M,DDR3
AMD;FX,4130,4,3.8G,4,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_4130,AMD,125,192KB,4MB,4MB,1866M,DDR3
AMD;FX,4170,4,4.2G,4,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_4170,AMD,125,192KB,4MB,8MB,unset,unset
AMD;FX,4300,4,3.8G,4,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_4300,AMD,95,192KB,4MB,4MB,1866M,DDR3
AMD;FX,4320,4,4.0G,4,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_4320,AMD,95,192KB,4MB,4MB,1866M,DDR3
AMD;FX,4350,4,4.2G,4,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_4350,AMD,125,192KB,4MB,8MB,1866M,DDR3
AMD;FX,6100,6,3.3G,6,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_6100,AMD,95,288KB,6MB,8MB,1866M,DDR3
AMD;FX,6200,6,3.8G,6,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_6200,AMD,125,288KB,6MB,8MB,1866M,DDR3
AMD;FX,6300,6,3.5G,6,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_6300,AMD,95,288KB,6MB,8MB,1866M,DDR3
AMD;FX,6350,6,3.9G,6,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_6350,AMD,125,288KB,6MB,8MB,1866M,DDR3
AMD;FX,7500,4,2.1G,4,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_7500,AMD,20,unset,4MB,unset,1600M,DDR3
AMD;FX,7600P,4,2.7G,4,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_7600P,AMD,35,unset,4MB,unset,2133M,DDR3
AMD;FX,8120,8,3.1G,8,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_8120,AMD,125,384KB,8MB,8MB,unset,unset
AMD;FX,8150,8,3.6G,8,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_8150,AMD,125,384KB,8MB,8MB,unset,DDR3
AMD;FX,8300,8,3.3G,8,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_8300,AMD,95,384KB,8MB,8MB,1866M,DDR3
AMD;FX,8310,8,3.4G,8,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_8310,AMD,95,unset,8MB,unset,unset,unset
AMD;FX,8320,8,3.5G,8,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_8320,AMD,125,384KB,8MB,8MB,1866M,DDR3
AMD;FX,8320E,8,3.2G,8,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_8320E,AMD,95,384KB,8MB,8MB,1866M,DDR3
AMD;FX,8350,8,4.0G,8,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_8350,AMD,125,384KB,8MB,8MB,1866M,DDR3
AMD;FX,8370,8,4.0G,8,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_8370,AMD,125,384KB,8MB,8MB,1866M,DDR3
AMD;FX,8370,8,4.0G,8,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_8370,AMD,125,384KB,8MB,8MB,1866M,DDR3
AMD;FX,8370,8,3.3G,8,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_8370,AMD,95,384KB,8MB,8MB,1866M,DDR3
AMD;FX,8800P,4,2.1G,4,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_8800P,AMD,15,unset,2MB,unset,2133M,DDR3
AMD;FX,9370,8,4.4G,8,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_9370,AMD,220,384KB,8MB,8MB,1866M,DDR3
AMD;FX,9590,8,4.7G,8,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_9590,AMD,220,384KB,8MB,8MB,1866M,DDR3
AMD;FX;7;9800P,APU,4,2.7G,4,64-bit,MMX;SSE;SSE2;SSE3;SSE4a,unset,AMD_FX_7_9800P_APU,AMD,15,unset,2MB,unset,1866M,DDR4
AMD;FX;7;9830P,APU,4,3.0G,4,64-bit,MMX;SSE;SSE2;SSE3;SSSE3;SSE4a;SSE4.1;SSE4.2;AVX,unset,AMD_FX_7_9830P_APU,AMD,35,unset,2MB,unset,2400M,DDR4
AMD;Opteron,3250,4,2.5G,4,64-bit,unset,Bulldozer,AMDOpteron_3250,AMD,45,192KB,4MB,4MB,2000M,DDR3
AMD;Opteron,3260,4,2.7G,4,64-bit,unset,Bulldozer,AMDOpteron_3260,AMD,45,192KB,4MB,4MB,2000M,DDR3
AMD;Opteron,3280,8,2.4G,8,64-bit,unset,Bulldozer,AMDOpteron_3280,AMD,65,384KB,8MB,8MB,2000M,DDR3
AMD;Opteron,3320,4,1.9G,4,64-bit,unset,Piledriver,AMDOpteron_3320,AMD,25,192KB,4MB,8MB,1400M,DDR3
AMD;Opteron,3350,4,2.8G,4,64-bit,unset,Piledriver,AMDOpteron_3350,AMD,45,192KB,4MB,8MB,2000M,DDR3
AMD;Opteron,3365,8,2.3G,8,64-bit,unset,Piledriver,AMDOpteron_3365,AMD,65,384KB,8MB,8MB,2000M,DDR3
AMD;Opteron,3380,8,2.6G,8,64-bit,unset,Piledriver,AMDOpteron_3380,AMD,65,384KB,8MB,8MB,2000M,DDR3
AMD;Opteron,4226,6,2.7G,6,64-bit,unset,Piledriver,AMDOpteron_4226,AMD,95,288KB,6MB,8MB,2000M,DDR3
AMD;Opteron,4228,6,2.8G,6,64-bit,unset,Piledriver,AMDOpteron_4228,AMD,65,288KB,6MB,8MB,2000M,DDR3
AMD;Opteron,4230,6,2.9G,6,64-bit,unset,Piledriver,AMDOpteron_4230,AMD,65,288KB,6MB,8MB,2000M,DDR3
AMD;Opteron,4234,6,3.1G,6,64-bit,unset,Piledriver,AMDOpteron_4234,AMD,95,288KB,6MB,8MB,2200M,DDR3
AMD;Opteron,4238,6,3.3G,6,64-bit,unset,Piledriver,AMDOpteron_4238,AMD,95,288KB,6MB,8MB,2200M,DDR3
AMD;Opteron,4240,6,3.4G,6,64-bit,unset,Piledriver,AMDOpteron_4240,AMD,95,288KB,6MB,8MB,unset,DDR3
AMD;Opteron,4256,8,1.6G,8,64-bit,unset,Piledriver,AMDOpteron_4256,AMD,35,384KB,8MB,8MB,1600M,DDR3
AMD;Opteron,4274,8,2.5G,8,64-bit,unset,Piledriver,AMDOpteron_4274,AMD,65,384KB,8MB,8MB,2000M,DDR3
AMD;Opteron,4276,8,2.6G,8,64-bit,unset,Piledriver,AMDOpteron_4276,AMD,65,384KB,8MB,8MB,2000M,DDR3
AMD;Opteron,4280,8,2.8G,8,64-bit,unset,Piledriver,AMDOpteron_4280,AMD,95,384KB,8MB,8MB,2200M,DDR3
AMD;Opteron,4284,8,3.0G,8,64-bit,unset,Piledriver,AMDOpteron_4284,AMD,95,384KB,8MB,8MB,2200M,DDR3
AMD;Opteron,4310,6,2.2G,6,64-bit,unset,Piledriver,AMDOpteron_4310,AMD,35,192KB,4MB,8MB,1600M,DDR3
AMD;Opteron,4332,6,3.0G,6,64-bit,unset,Piledriver,AMDOpteron_4332,AMD,65,288KB,6MB,8MB,2000M,DDR3
AMD;Opteron,4334,6,3.1G,6,64-bit,unset,Piledriver,AMDOpteron_4334,AMD,95,288KB,6MB,8MB,2000M,DDR3
AMD;Opteron,4340,6,3.5G,6,64-bit,unset,Piledriver,AMDOpteron_4340,AMD,95,288KB,6MB,8MB,2200M,DDR3
AMD;Opteron,4365,8,2.0G,8,64-bit,unset,Piledriver,AMDOpteron_4365,AMD,40,384KB,8MB,8MB,1600M,DDR3
AMD;Opteron,4376,8,2.6G,8,64-bit,unset,Piledriver,AMDOpteron_4376,AMD,65,384KB,8MB,8MB,2000M,DDR3
AMD;Opteron,4386,8,3.1G,8,64-bit,unset,Piledriver,AMDOpteron_4386,AMD,95,384KB,8MB,8MB,2200M,DDR3
AMD;Opteron,6132,8,2.2G,8,64-bit,unset,Piledriver,AMDOpteron_6132,AMD,85,1024KB,4MB,12MB,1800M,DDR3
AMD;Opteron,6140,8,2.6G,8,64-bit,unset,Piledriver,AMDOpteron_6140,AMD,115,1024KB,4MB,12MB,1800M,DDR3
AMD;Opteron,6166,12,1.8G,12,64-bit,unset,Piledriver,AMDOpteron_6166,AMD,85,1536KB,6MB,12MB,1800M,DDR3
AMD;Opteron,6176,12,2.3G,12,64-bit,unset,Piledriver,AMDOpteron_6176,AMD,115,1536KB,6MB,12MB,1800M,DDR3
AMD;Opteron,6180,12,2.5G,12,64-bit,unset,Piledriver,AMDOpteron_6180,AMD,140,1536KB,6MB,12MB,1800M,DDR3
AMD;Opteron,6204,4,3.3G,4,64-bit,unset,Piledriver,AMDOpteron_6204,AMD,115,512KB,4MB,16MB,2000M,DDR3
AMD;Opteron,6212,8,2.6G,8,64-bit,unset,Piledriver,AMDOpteron_6212,AMD,115,384KB,8MB,16MB,2000M,DDR3
AMD;Opteron,6220,8,3.0G,8,64-bit,unset,Piledriver,AMDOpteron_6220,AMD,115,384KB,8MB,16MB,2000M,DDR3
AMD;Opteron,6234,12,2.4G,12,64-bit,unset,Piledriver,AMDOpteron_6234,AMD,115,576KB,12MB,16MB,2000M,DDR3
AMD;Opteron,6238,12,2.6G,12,64-bit,unset,Piledriver,AMDOpteron_6238,AMD,115,576KB,12MB,16MB,2000M,DDR3
AMD;Opteron,6262,16,1.6G,16,64-bit,unset,Piledriver,AMDOpteron_6262,AMD,85,768KB,16MB,16MB,1800M,DDR3
AMD;Opteron,6272,16,2.1G,16,64-bit,unset,Piledriver,AMDOpteron_6272,AMD,115,768KB,16MB,16MB,2000M,DDR3
AMD;Opteron,6274,16,2.2G,16,64-bit,unset,Piledriver,AMDOpteron_6274,AMD,115,768KB,16MB,16MB,2000M,DDR3
AMD;Opteron,6276,16,2.3G,16,64-bit,unset,Piledriver,AMDOpteron_6276,AMD,115,768KB,16MB,16MB,2000M,DDR3
AMD;Opteron,6278,16,2.4G,16,64-bit,unset,Piledriver,AMDOpteron_6278,AMD,115,768KB,16MB,16MB,2000M,DDR3
