,,processor_core_count,processor_clock,processor_core_threadscount,processor_isa,processor_simd,processor_microarchitecture,processor,processor_manufacturer,processor_tdp,processor_core_L1_size, processor_core_L2_size, processor_L3_size,node_memory_bandwidth,node_memory_type
AMD;A12;6;8830B;APU,PRO,4,2.5G,4,64-bit,unset,unset,AMD_A12_PRO_6_8830B_APU,AMD,unset,unset,2MB,unset,1866M,DDR4
AMD;A12;6;8870;APU,PRO,4,3.7G,4,64-bit,unset,unset,AMD_A12_PRO_6_8870_APU,AMD,65,unset,2MB,unset,2400M,DDR4
AMD;A12;6;8870E;APU,PRO,4,2.9G,4,64-bit,unset,unset,AMD_A12_PRO_6_8870E_APU,AMD,35,unset,2MB,unset,2400M,DDR4
AMD;A12;7;9700P,APU,4,2.5G,4,64-bit,unset,unset,AMD_A12_7_9700P_APU,AMD,15,unset,2MB,unset,1866M,DDR4
AMD;A12;7;9730P,APU,4,2.8G,4,64-bit,unset,unset,AMD_A12_7_9730P_APU,AMD,35,unset,2MB,unset,2400M,DDR4
AMD;A12;7;9800;APU,,4,3.8G,4,64-bit,MMX;SSE;SSE2;SSE3;SSE4a,unset,AMD_A12_7_9800_APU,AMD,65,unset,2MB,unset,2400M,DDR4
AMD;A12;7;9800;APU,PRO,4,3.8G,4,64-bit,MMX;SSE;SSE2;SSE3;SSE4a,unset,AMD_A12_PRO_7_9800_APU,AMD,65,unset,2MB,unset,2400M,DDR4
AMD;A12;7;9800B;APU,PRO,4,2.7G,4,64-bit,MMX;SSE;SSE2;SSE3;SSE4a,unset,AMD_A12_PRO_7_9800B_APU,AMD,15,unset,2MB,unset,1866M,DDR4
AMD;A12;7;9800E;APU,,4,3.1G,4,64-bit,MMX;SSE;SSE2;SSE3;SSE4a,unset,AMD_A12_7_9800E_APU,AMD,35,unset,2MB,unset,2400M,DDR4
AMD;A12;7;9800E;APU,PRO,4,3.1G,4,64-bit,MMX;SSE;SSE2;SSE3;SSE4a,unset,AMD_A12_PRO_7_9800E_APU,AMD,35,unset,2MB,unset,2400M,DDR4
AMD;A12;7;9830B;APU,PRO,4,3.0G,4,64-bit,unset,unset,AMD_A12_PRO_7_9830B_APU,AMD,35,unset,2MB,unset,2400M,DDR4
