,,accelerator,accelerator_type,accelerator_manufacturer,accelerator_api,accelerator_architecture,accelerator_memorysize,accelerator_tdp,#chips,chip
NVIDIA;GeForce;RTX;3090,,NVIDIAGeForce_RTX3090,GPU,NVIDIA,CUDA_8_6,Ampere,24G,23,unset,uset
NVIDIA;GeForce;RTX;3090,Ti,NVIDIAGeForce_RTX3090Ti,GPU,NVIDIA,CUDA_8_6,Ampere,24G,23,unset,unset
NVIDIA;GeForce;RTX;3080,,NVIDIAGeForce_RTX3080,GPU,NVIDIA,CUDA_8_6,Ampere,12G,23,unset,unset
NVIDIA;GeForce;RTX;3080,Ti,NVIDIAGeForce_RTX3080Ti,GPU,NVIDIA,CUDA_8_6,Ampere,12G,23,unset,unset
NVIDIA;GeForce;RTX;3070,,NVIDIAGeForce_RTX3070,GPU,NVIDIA,CUDA_8_6,Ampere,8G,23,unset,unset
NVIDIA;GeForce;RTX;3070,Ti,NVIDIAGeForce_RTX3070Ti,GPU,NVIDIA,CUDA_8_6,Ampere,8G,23,unset,unset
NVIDIA;GeForce;RTX;3060,,NVIDIAGeForce_RTX3060,GPU,NVIDIA,CUDA_8_6,Ampere,12G,23,unset,unset
NVIDIA;GeForce;RTX;3060,Ti,NVIDIAGeForce_RTX3060Ti,GPU,NVIDIA,CUDA_8_6,Ampere,8G,23,unset,unset
NVIDIA;GeForce;RTX;3050,,NVIDIAGeForce_RTX3050,GPU,NVIDIA,CUDA_8_6,Ampere,8G,23,unset,unset
NVIDIA;GeForce;RTX;2080,,NVIDIAGeForce_RTX2080,GPU,NVIDIA,CUDA_7_5,Turing,8G,23,unset,unset
NVIDIA;GeForce;RTX;2080,Ti,NVIDIAGeForce_RTX2080Ti,GPU,NVIDIA,CUDA_7_5,Turing,8G,23,unset,unset
NVIDIA;GeForce;RTX;2080,Super,NVIDIAGeForce_RTX2080Super,GPU,NVIDIA,CUDA_7_5,Turing,8G,23,unset,unset
NVIDIA;GeForce;RTX;2070,,NVIDIAGeForce_RTX2070,GPU,NVIDIA,CUDA_7_5,Turing,8G,23,unset,unset
NVIDIA;GeForce;RTX;2070,Super,NVIDIAGeForce_RTX2070Super,GPU,NVIDIA,CUDA_7_5,Turing,8G,23,unset,unset
NVIDIA;GeForce;RTX;2060,,NVIDIAGeForce_RTX2060,GPU,NVIDIA,CUDA_7_5,Turing,8G,23,unset,unset
NVIDIA;GeForce;RTX;2060,Super,NVIDIAGeForce_RTX2060Super,GPU,NVIDIA,CUDA_7_5,Turing,6G,23,unset,unset
NVIDIA;GeForce;RTX;1660,,NVIDIAGeForce_RTX1660,GPU,NVIDIA,CUDA_7_5,Turing,6G,23,unset,unset
NVIDIA;GeForce;RTX;1660,Ti,NVIDIAGeForce_RTX1660Super,GPU,NVIDIA,CUDA_7_5,Turing,6G,23,unset,unset
NVIDIA;GeForce;RTX;1660,Super,NVIDIAGeForce_RTX1660Super,GPU,NVIDIA,CUDA_7_5,Turing,6G,23,unset,unset
NVIDIA;GeForce;RTX;1650,G5,NVIDIAGeForce_RTX1650_G5,GPU,NVIDIA,CUDA_7_5,Turing,4G,23,unset,unset
NVIDIA;GeForce;RTX;1650,G6,NVIDIAGeForce_RTX1650_G6,GPU,NVIDIA,CUDA_7_5,Turing,4G,23,unset,unset
NVIDIA;GeForce;RTX;1650,Ti,NVIDIAGeForce_RTX1650Ti,GPU,NVIDIA,CUDA_7_5,Turing,4G,23,unset,unset
NVIDIA;GeForce;RTX;1630,,NVIDIAGeForce_RTX1630,GPU,NVIDIA,CUDA_7_5,Turing,4G,23,unset,unset
